Subject,Run,MRSS_normal,MRSS_high_res,MRSS_smoothed
1,1,40.82952276,40.62297392,2.966249345
1,2,75.42945535,75.1390682,3.914076412
1,3,75.65312045,74.92416373,4.92729471
2,1,100.2242836,99.29295055,4.942728326
2,2,107.4930268,106.717622,6.66709883
2,3,83.41544679,82.56697683,3.495136104
3,1,789.4994164,771.9939999,112.8903696
3,2,92.11411805,91.59445988,3.271873454
3,3,189.7673627,187.9407854,17.27726942
