onset	gain	loss	PTval	respnum	respcat	RT
0.00	20	15	-32.84	4	0	2.419
4.00	18	12	-24.27	4	0	1.358
8.00	10	15	-42.84	4	0	1.462
18.00	34	16	-22.36	2	1	2.189
24.00	18	5	0.39	1	1	2.582
28.00	26	13	-19.80	3	0	2.823
38.00	32	17	-27.89	4	0	1.366
42.00	16	5	-1.61	2	1	1.552
46.00	22	7	-2.66	2	1	1.612
52.00	36	8	7.82	1	1	1.589
56.00	16	10	-19.23	4	0	1.885
62.00	30	13	-15.80	3	0	2.885
74.00	14	17	-45.89	4	0	1.263
78.00	28	19	-38.93	4	0	2.701
82.00	14	20	-56.46	4	0	1.327
86.00	26	16	-30.36	4	0	1.448
90.00	40	5	22.39	1	1	1.792
94.00	28	12	-14.27	3	0	2.368
98.00	20	16	-36.36	4	0	1.480
102.00	26	5	8.39	2	1	2.448
106.00	32	20	-38.46	4	0	1.296
110.00	18	17	-41.89	4	0	1.240
116.00	20	6	-1.14	2	1	2.831
120.00	20	18	-43.41	4	0	1.553
126.00	40	7	15.34	1	1	1.265
130.00	36	6	14.86	1	1	1.369
134.00	16	20	-54.46	4	0	1.457
140.00	40	15	-12.84	0	-1	0.000
148.00	10	6	-11.14	3	0	0.001
156.00	12	15	-40.84	4	0	1.297
160.00	34	17	-25.89	4	0	2.079
164.00	18	14	-31.32	4	0	2.346
170.00	40	13	-5.80	4	0	2.170
174.00	32	19	-34.93	4	0	1.322
178.00	14	12	-28.27	4	0	1.258
182.00	32	10	-3.23	3	0	1.314
192.00	36	17	-23.89	4	0	1.917
202.00	28	13	-17.80	4	0	2.147
208.00	34	13	-11.80	0	-1	0.000
212.00	38	14	-11.32	3	0	2.106
220.00	32	11	-6.75	2	1	2.139
224.00	32	9	0.29	2	1	1.699
234.00	30	16	-26.36	3	0	2.123
238.00	34	10	-1.23	3	0	2.659
246.00	18	8	-10.18	3	0	2.963
250.00	34	20	-36.46	3	0	2.885
256.00	32	16	-24.36	3	0	1.739
260.00	24	12	-18.27	3	0	1.372
266.00	38	12	-4.27	2	1	2.268
272.00	38	10	2.77	2	1	2.189
280.00	24	7	-0.66	2	1	2.861
284.00	16	13	-29.80	4	0	1.692
296.00	36	19	-30.93	4	0	1.437
310.00	32	5	14.39	1	1	1.029
316.00	34	9	2.29	2	1	2.101
320.00	28	7	3.34	2	1	2.230
324.00	24	13	-21.80	3	0	1.790
330.00	38	5	20.39	1	1	1.501
336.00	22	9	-9.71	2	1	1.358
342.00	10	11	-28.75	4	0	1.141
346.00	12	14	-37.32	4	0	0.885
350.00	34	19	-32.93	4	0	1.367
360.00	38	7	13.34	2	1	2.191
364.00	30	6	8.86	2	1	2.319
368.00	26	18	-37.41	4	0	2.431
374.00	14	6	-7.14	3	0	2.839
378.00	16	12	-26.27	4	0	1.318
382.00	22	20	-48.46	4	0	1.168
386.00	12	17	-47.89	4	0	1.385
398.00	10	7	-14.66	3	0	2.223
402.00	18	20	-52.46	4	0	1.585
408.00	12	6	-9.14	3	0	2.457
412.00	32	6	10.86	1	1	1.904
416.00	18	7	-6.66	2	1	2.416
420.00	40	10	4.77	1	1	1.729
424.00	14	14	-35.32	4	0	1.585
428.00	30	19	-36.93	4	0	2.129
436.00	24	18	-39.41	4	0	2.881
440.00	10	12	-32.27	4	0	1.280
444.00	40	19	-26.93	4	0	1.289
448.00	24	9	-7.71	2	1	2.705
458.00	16	18	-47.41	4	0	1.105
462.00	36	12	-6.27	3	0	2.002
466.00	26	9	-5.71	2	1	2.351
470.00	20	12	-22.27	3	0	2.266
474.00	24	14	-25.32	4	0	2.098
